Step,Node_Name,Instruction,Latitude,Longitude
209.0,Navigation,Passing Point,13.85248,100.57622
209.5,Speed Bump between step 209 and 210,Caution: Speed Bump Ahead,13.85248,100.57619500000001
210.0,Navigation,Passing Point,13.85248,100.57617
211.0,Navigation,Passing Point,13.85248,100.57604
211.5,Speed Bump between step 211 and 212,Caution: Speed Bump Ahead,13.85248,100.575775
212.0,Navigation,Passing Point,13.85248,100.57551
213.0,Navigation,Passing Point,13.85248,100.57512
213.5,Speed Bump between step 213 and 214,Caution: Speed Bump Ahead,13.852485,100.574775
214.0,Navigation,Passing Point,13.85249,100.57443
214.5,Zebra Crossing between step 214 and 215,Caution: Zebra Crossing Ahead,13.85249,100.574375
215.0,Navigation,Passing Point,13.85249,100.57432
216.0,Navigation,Passing Point,13.8525,100.57389
217.0,Navigation,Passing Point,13.8525,100.57374
217.5,Speed Bump between step 217 and 218,Caution: Speed Bump Ahead,13.8525,100.57326499999999
218.0,Navigation,Passing Point,13.8525,100.57279
219.0,Navigation,Passing Point,13.8525,100.57274
219.5,Speed Bump between step 219 and 220,Caution: Speed Bump Ahead,13.8525,100.57267999999999
220.0,Navigation,Passing Point,13.8525,100.57262
220.5,Zebra Crossing between step 220 and 221,Caution: Zebra Crossing Ahead,13.8525,100.57258
221.0,Navigation,Passing Point,13.8525,100.57254
221.5,Zebra Crossing between step 221 and 222,Caution: Zebra Crossing Ahead,13.8525,100.57254
222.0,Navigation,Turn left,13.8525,100.57254
223.0,Navigation,Passing Point,13.85244,100.57259
224.0,Navigation,Passing Point,13.85172,100.5726
225.0,Navigation,Passing Point,13.85164,100.5726
225.5,Speed Bump between step 225 and 226,Caution: Speed Bump Ahead,13.851585,100.5726
226.0,Navigation,Passing Point,13.85153,100.5726
227.0,Stop 14,You have arrived at your destination,13.85153,100.5726
228.0,Navigation,Head south,13.85153,100.5726
228.5,Speed Bump between step 228 and 229,Caution: Speed Bump Ahead,13.851105,100.572595
229.0,Navigation,Passing Point,13.85068,100.57259
230.0,Navigation,Passing Point,13.85043,100.57259
231.0,Stop 15,You have arrived at your destination,13.85043,100.57259
232.0,Navigation,Head south,13.85043,100.57259
232.5,Speed Bump between step 232 and 233,Caution: Speed Bump Ahead,13.850325,100.57259
233.0,Navigation,Passing Point,13.85022,100.57259
233.5,Speed Bump between step 233 and 234,Caution: Speed Bump Ahead,13.85015,100.57259
234.0,Navigation,Passing Point,13.85008,100.57259
235.0,Navigation,Passing Point,13.84985,100.57259
235.5,Zebra Crossing between step 235 and 236,Caution: Zebra Crossing Ahead,13.84974,100.57259
236.0,Navigation,Passing Point,13.84963,100.57259
236.5,Speed Bump between step 236 and 237,Caution: Speed Bump Ahead,13.849184999999999,100.57259
237.0,Navigation,Passing Point,13.84874,100.57259
238.0,Stop 16,You have arrived at your destination,13.84874,100.57259
239.0,Navigation,Head south,13.84874,100.57259
240.0,Navigation,Passing Point,13.84849,100.57258
240.5,Zebra Crossing between step 240 and 241,Caution: Zebra Crossing Ahead,13.848189999999999,100.57258
241.0,Navigation,Passing Point,13.84789,100.57258
242.0,Navigation,Passing Point,13.8478,100.57258
243.0,Stop 17,You have arrived at your destination,13.8478,100.57258
244.0,Navigation,Head south,13.8478,100.57258
244.5,Zebra Crossing between step 244 and 245,Caution: Zebra Crossing Ahead,13.84767,100.57258
245.0,Navigation,Passing Point,13.84754,100.57258
246.0,Navigation,Passing Point,13.8473,100.57258
247.0,Navigation,Passing Point,13.84649,100.57257
248.0,Stop 18,"You have arrived at your destination, on the left",13.84649,100.57257
249.0,Navigation,Head south,13.84649,100.57257
250.0,Navigation,Passing Point,13.84616,100.57257
251.0,Navigation,Turn left,13.84616,100.57257
251.5,Zebra Crossing between step 251 and 252,Caution: Zebra Crossing Ahead,13.846129999999999,100.57319
252.0,Navigation,Passing Point,13.8461,100.57381
252.5,Zebra Crossing between step 252 and 253,Caution: Zebra Crossing Ahead,13.8461,100.573855
253.0,Navigation,Passing Point,13.8461,100.5739
254.0,Stop 19,"You have arrived at your destination, on the right",13.8461,100.5739
